CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Year
2013-06-05,23:30,QUEENS,11372.0,40.7563391,-73.8779302,"(40.7563391, -73.8779302)",NORTHERN BOULEVARD              ,90 STREET                       ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,282272,SPORT UTILITY / STATION WAGON,UNKNOWN,,,,2013
2013-05-24,1:45,,,,,,,,,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,2879438,UNKNOWN,,,,,2013
2013-05-30,8:10,QUEENS,11237.0,40.699531,-73.9110367,"(40.699531, -73.9110367)",WYCKOFF AVENUE                  ,MYRTLE AVENUE                   ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,216531,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,2013
2013-05-21,17:05,BROOKLYN,11237.0,40.7007761,-73.9133287,"(40.7007761, -73.9133287)",WYCKOFF AVENUE                  ,GROVE STREET                    ,,4.0,0.0,3,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,186079,OTHER,OTHER,,,,2013
2013-05-22,23:20,,,,,,,,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,,,,2934381,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-05-23,16:30,BROOKLYN,11223.0,40.609674,-73.9652232,"(40.609674, -73.9652232)",AVENUE P                        ,EAST 8 STREET                   ,,1.0,0.0,0,0,0,0,1,0,Prescription Medication,Lost Consciousness,Unspecified,,,119023,SPORT UTILITY / STATION WAGON,VAN,PASSENGER VEHICLE,,,2013
2013-06-10,18:00,BRONX,10456.0,40.8371265,-73.9096348,"(40.8371265, -73.9096348)",FINDLAY AVENUE                  ,EAST 170 STREET                 ,,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,87079,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,,2013
2013-05-29,20:40,BROOKLYN,11215.0,40.6641657,-73.9905454,"(40.6641657, -73.9905454)",PROSPECT AVENUE                 ,5 AVENUE                        ,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,,,,158086,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-06-07,20:44,QUEENS,11421.0,40.6927254,-73.8555773,"(40.6927254, -73.8555773)",JAMAICA AVENUE                  ,89 STREET                       ,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,206369,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,2013
2013-05-21,8:10,QUEENS,11364.0,40.7361095,-73.745008,"(40.7361095, -73.745008)",UNION TURNPIKE                  ,226 STREET                      ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,261796,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-06-10,9:23,BRONX,10469.0,40.8694147,-73.8426364,"(40.8694147, -73.8426364)",EASTCHESTER ROAD                ,ADEE AVENUE                     ,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,97690,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-05-19,19:29,,,,,,,,,4.0,0.0,0,0,0,0,4,0,Unspecified,Unspecified,Unspecified,,,2927423,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,2013
2013-05-28,16:45,BRONX,10458.0,40.8584174,-73.8851356,"(40.8584174, -73.8851356)",EAST FORDHAM ROAD               ,ARTHUR AVENUE                   ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,101383,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-06-10,23:50,MANHATTAN,10128.0,40.7832478,-73.9447234,"(40.7832478, -73.9447234)",1 AVENUE                        ,EAST 96 STREET                  ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,48951,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-05-29,14:20,,,,,,138 STREET                      ,HORACE HARDING EXPRESSWAY       ,,0.0,0.0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,Unspecified,Unspecified,,235910,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,2013
