CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Year
2024-01-03,7:25,BROOKLYN,11218.0,40.637295,-73.96823,"(40.637295, -73.96823)",CONEY ISLAND AVENUE,DORCHESTER ROAD,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692663,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,1:12,MANHATTAN,10040.0,40.861256,-73.925674,"(40.861256, -73.925674)",THAYER STREET,NAGLE AVENUE,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,,4692244,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,2024
2024-01-03,10:00,QUEENS,11372.0,40.74816,-73.87902,"(40.74816, -73.87902)",,,87-25     ROOSEVELT AVENUE,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,4692398,Sedan,,,,,2024
2024-01-03,11:15,BRONX,10461.0,40.85098,-73.855774,"(40.85098, -73.855774)",,,1063      RHINELANDER AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4692597,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,14:25,STATEN ISLAND,10312.0,40.54706,-74.17224,"(40.54706, -74.17224)",,,137       SERRELL AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4692464,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,17:58,,,,,,14 ROAD,,,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4692520,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,4:30,,,40.73736,-73.934074,"(40.73736, -73.934074)",LONG ISLAND EXPRESSWAY,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692168,Tractor Truck Diesel,Sedan,,,,2024
2024-01-03,14:00,BROOKLYN,11212.0,40.66003,-73.92179,"(40.66003, -73.92179)",EAST 95 STREET,CLARKSON AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4693115,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,0:00,BRONX,10459.0,40.817795,-73.89319,"(40.817795, -73.89319)",TIFFANY STREET,BRUCKNER BOULEVARD,,4.0,0.0,0,0,0,0,4,0,Other Vehicular,Unspecified,,,,4692655,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,13:15,BRONX,10466.0,40.883858,-73.855896,"(40.883858, -73.855896)",BRONXWOOD AVENUE,EAST 222 STREET,,1.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4692368,Sedan,E-Scooter,,,,2024
2024-01-03,12:50,BROOKLYN,11219.0,40.629597,-74.00136,"(40.629597, -74.00136)",61 STREET,12 AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4692386,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,7:00,QUEENS,11361.0,40.761887,-73.767395,"(40.761887, -73.767395)",,,215-15    43 AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4692406,Sedan,Sedan,,,,2024
2024-01-03,15:22,BRONX,10457.0,40.85429,-73.90027,"(40.85429, -73.90027)",EAST 181 STREET,RYER AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692649,Station Wagon/Sport Utility Vehicle,,,,,2024
